 TimeStamp microcontroller.outputport_fsr.0 microcontroller.outputport_fsr.1 microcontroller.outputport_fsr.2 microcontroller.outputport_fsr.3 microcontroller.outputport_fsr.4 microcontroller.outputport_fsr.5 microcontroller.outputport_mems.0 microcontroller.outputport_mems.1 microcontroller.outputport_mems.2 microcontroller.outputport_mems.3 microcontroller.outputport_mems.4 microcontroller.outputport_mems.5 microcontroller.outputport_mems.6 microcontroller.outputport_mems.7 microcontroller.outputport_wrench.0 microcontroller.outputport_wrench.1 microcontroller.outputport_wrench.2 microcontroller.outputport_wrench.3 microcontroller.outputport_wrench.4 microcontroller.outputport_wrench.5
 10.6129  1967 1965 1968 1974 1974 1975  10.7 29.543 -210 -1050 -70 -21.899 27.145 1010.34  -2.44949 2.82843 -1.41421 0.106066 0.183712 0.183712 
 10.6129  1967 1965 1968 1974 1974 1975  10.7 29.543 -210 -1050 -70 -21.899 27.145 1010.34  -1.83712 2.12132 -1.06066 0.0795495 0.137784 0.137784 
 10.613  1967 1965 1968 1974 1974 1975  10.7 29.543 -210 -1050 -70 -21.899 27.145 1010.34  -1.83712 2.12132 -1.06066 0.0795495 0.137784 0.137784 
 10.7129  1967 1965 1968 1975 1974 1975  10.8 29.5352 -210 -1050 -70 -21.899 27.206 1010.34  -2.1433 1.23744 -1.41421 0.0265165 0.137784 0.183712 
 10.813  1967 1966 1968 1974 1974 1974  10.9 29.4492 -210 -1050 -70 -21.899 27.206 1010.34  -0.306186 1.59099 -1.06066 0.0795495 0.0459279 0.137784 
 10.9131  1967 1966 1968 1975 1974 1975  11 29.5039 -210 -1050 -70 -21.899 27.206 1010.34  -1.22474 1.41421 -1.76777 0.053033 0.0918559 0.22964 
 10.9132  1967 1966 1968 1975 1974 1975  11 29.5039 -210 -1050 -70 -21.899 27.206 1010.34  -1.22474 1.41421 -1.76777 0.053033 0.0918559 0.22964 
 11.013  1967 1966 1968 1975 1974 1977  11.1 29.543 -280 -1050 -70 -21.899 27.206 1010.28  -2.44949 2.82843 -2.47487 0.106066 0.183712 0.321496 
 11.1129  1967 1966 1968 1975 1974 1976  11.2 29.5117 -280 -1050 -70 -21.96 27.267 1010.28  -1.83712 2.12132 -2.12132 0.0795495 0.137784 0.275568 
 11.213  1967 1966 1968 1974 1975 1976  11.3 29.5039 -210 -1050 -70 -21.899 27.267 1010.28  -2.1433 3.71231 -2.12132 0.159099 0.183712 0.275568 
 11.313  1966 1966 1968 1973 1975 1976  11.4 29.4727 -280 -1050 -70 -21.838 27.267 1010.22  -2.75568 4.41942 -1.41421 0.185616 0.22964 0.183712 
